"","player_name","team_name","action_type","shot_zone_range","shot_zone","shot_type"
"855","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"856","Stephen Curry","Golden State Warriors","Step Back Jump shot","16-24 ft.",3,"Jump"
"857","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"858","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"859","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"860","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"861","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"862","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"863","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"864","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"865","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"866","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"867","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"868","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"869","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"870","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"871","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"872","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"873","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"874","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"875","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"876","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"877","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"878","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"879","Stephen Curry","Golden State Warriors","Driving Bank shot","Less Than 8 ft.",1,"Bank"
"880","Stephen Curry","Golden State Warriors","Floating Jump shot","Less Than 8 ft.",1,"Jump"
"881","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"882","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"883","Stephen Curry","Golden State Warriors","Step Back Jump shot","16-24 ft.",3,"Jump"
"884","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"885","Stephen Curry","Golden State Warriors","Driving Jump shot","Less Than 8 ft.",1,"Jump"
"886","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"887","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"888","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"889","Stephen Curry","Golden State Warriors","Dunk Shot","Less Than 8 ft.",1,"Others"
"890","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"891","Stephen Curry","Golden State Warriors","Pullup Jump shot","16-24 ft.",3,"Jump"
"892","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"893","Stephen Curry","Golden State Warriors","Step Back Jump shot","24+ ft.",4,"Jump"
"894","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"895","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"896","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"897","Stephen Curry","Golden State Warriors","Step Back Jump shot","16-24 ft.",3,"Jump"
"898","Stephen Curry","Golden State Warriors","Jump Shot","Less Than 8 ft.",1,"Jump"
"899","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"900","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"901","Stephen Curry","Golden State Warriors","Fadeaway Jump Shot","16-24 ft.",3,"Jump"
"902","Stephen Curry","Golden State Warriors","Floating Jump shot","Less Than 8 ft.",1,"Jump"
"903","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"904","Stephen Curry","Golden State Warriors","Running Bank shot","Less Than 8 ft.",1,"Bank"
"905","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"906","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"907","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"908","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"909","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"910","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"911","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"912","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"913","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"914","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"915","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"916","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"917","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"918","Stephen Curry","Golden State Warriors","Step Back Jump shot","16-24 ft.",3,"Jump"
"919","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"920","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"921","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"922","Stephen Curry","Golden State Warriors","Running Bank shot","Less Than 8 ft.",1,"Bank"
"923","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"924","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"925","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"926","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"927","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"928","Stephen Curry","Golden State Warriors","Pullup Jump shot","8-16 ft.",2,"Jump"
"929","Stephen Curry","Golden State Warriors","Floating Jump shot","8-16 ft.",2,"Jump"
"930","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"931","Stephen Curry","Golden State Warriors","Running Layup Shot","Less Than 8 ft.",1,"Layup"
"932","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"933","Stephen Curry","Golden State Warriors","Pullup Jump shot","24+ ft.",4,"Jump"
"934","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"935","Stephen Curry","Golden State Warriors","Driving Reverse Layup Shot","Less Than 8 ft.",1,"Layup"
