person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
2736,Deng, Luol,Luol Deng,TRUE,2004,2015,luol_deng,1610612748,Miami,Heat,MIA,heat,Y
2564,Diaw, Boris,Boris Diaw,TRUE,2003,2015,boris_diaw,1610612759,San Antonio,Spurs,SAS,spurs,Y
203476,Dieng, Gorgui,Gorgui Dieng,TRUE,2013,2015,gorgui_dieng,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y
203915,Dinwiddie, Spencer,Spencer Dinwiddie,TRUE,2014,2015,spencer_dinwiddie,1610612765,Detroit,Pistons,DET,pistons,Y
201962,Douglas, Toney,Toney Douglas,TRUE,2009,2015,toney_douglas,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
201609,Dragic, Goran,Goran Dragic,TRUE,2008,2015,goran_dragic,1610612748,Miami,Heat,MIA,heat,Y
203083,Drummond, Andre,Andre Drummond,TRUE,2012,2015,andre_drummond,1610612765,Detroit,Pistons,DET,pistons,Y
201162,Dudley, Jared,Jared Dudley,TRUE,2007,2015,jared_dudley,1610612764,Washington,Wizards,WAS,wizards,Y
1626251,Dukan, Duje,Duje Dukan,TRUE,2015,2015,duje_dukan,1610612758,Sacramento,Kings,SAC,kings,Y
1495,Duncan, Tim,Tim Duncan,TRUE,1997,2015,tim_duncan,1610612759,San Antonio,Spurs,SAS,spurs,Y
2399,Dunleavy, Mike,Mike Dunleavy,TRUE,2002,2015,mike_dunleavy,1610612741,Chicago,Bulls,CHI,bulls,Y
201142,Durant, Kevin,Kevin Durant,TRUE,2007,2015,kevin_durant,1610612760,Oklahoma City,Thunder,OKC,thunder,Y
203921,Early, Cleanthony,Cleanthony Early,TRUE,2014,2015,cleanthony_early,1610612752,New York,Knicks,NYK,knicks,Y
204067,Eddie, Jarell,Jarell Eddie,TRUE,2015,2015,jarell_eddie,1610612764,Washington,Wizards,WAS,wizards,Y
201961,Ellington, Wayne,Wayne Ellington,TRUE,2009,2015,wayne_ellington,1610612751,Brooklyn,Nets,BKN,nets,Y
101145,Ellis, Monta,Monta Ellis,TRUE,2005,2015,monta_ellis,1610612754,Indiana,Pacers,IND,pacers,Y
203954,Embiid, Joel,Joel Embiid,TRUE,2014,2015,joel_embiid,1610612755,Philadelphia,76ers,PHI,sixers,N
