"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"55","Shot Chart Detail","0041400172","11","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","10","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,11.4,27.95,1,"made",1,3
"56","Shot Chart Detail","0041400172","29","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","7","31","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.4,5.35,1,"made",1,2
"57","Shot Chart Detail","0041400172","42","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","6","10","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",20,1.5,25.85,1,"made",1,2
"58","Shot Chart Detail","0041400172","44","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","5","30","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",17,-16.8,8.05,1,"made",1,2
"59","Shot Chart Detail","0041400172","72","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","3","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",22,8.3,26.05,1,"missed",0,2
"60","Shot Chart Detail","0041400172","120","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","11","41","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-6,8.95,1,"made",1,2
"61","Shot Chart Detail","0041400172","122","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","11","1","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,-9.8,11.55,1,"missed",0,2
"62","Shot Chart Detail","0041400172","131","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","10","1","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.2,4.65,1,"missed",0,2
"63","Shot Chart Detail","0041400172","145","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","8","41","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,-10.9,9.15,1,"missed",0,2
"64","Shot Chart Detail","0041400172","186","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","5","18","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-14.2,17.35,1,"missed",0,2
"65","Shot Chart Detail","0041400172","247","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","11","42","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",17,-9.8,19.85,1,"made",1,2
"66","Shot Chart Detail","0041400172","288","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","6","46","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",12,-11.7,10.55,1,"missed",0,2
"67","Shot Chart Detail","0041400172","304","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","5","43","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",16,-15.5,10.55,1,"missed",0,2
"68","Shot Chart Detail","0041400172","308","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","5","1","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0.1,6.75,1,"made",1,2
"69","Shot Chart Detail","0041400172","318","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","3","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",19,-12.5,19.85,1,"missed",0,2
"70","Shot Chart Detail","0041400172","337","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","2","30","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1,5.85,1,"missed",0,2
"71","Shot Chart Detail","0041400172","395","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","9","22","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-5.9,8.65,1,"missed",0,2
"72","Shot Chart Detail","0041400172","403","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","8","52","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",12,-12,7.15,1,"missed",0,2
"73","Shot Chart Detail","0041400172","428","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","6","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",26,-0.2,31.25,1,"missed",0,3
"74","Shot Chart Detail","0041400173","2","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","11","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",19,-16.3,16.45,1,"missed",0,2
