Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Devin Harris	DAL	59	17	3.9%	0.82	14	6	14	42.9	46.4	5.9%	11.8%	5.9%	0.0%	41.2%	53.1
JaMychal Green	MEM	71	18	3.2%	0.78	14	6	14	42.9	42.9	11.1%	16.7%	11.1%	5.6%	38.9%	45.1
Jae Crowder	BOS	67	19	2.1%	0.74	14	5	18	27.8	30.6	10.5%	0.0%	10.5%	5.3%	31.6%	36.1
DJ Augustin	DEN	23	19	6.8%	0.74	14	6	15	40.0	43.3	10.5%	15.8%	5.3%	5.3%	36.8%	36.1
Courtney Lee	MEM	51	20	4.1%	0.70	14	7	17	41.2	41.2	0.0%	15.0%	0.0%	0.0%	35.0%	29.1
Rodney Stuckey	IND	51	26	5.1%	0.54	14	4	18	22.2	22.2	19.2%	15.4%	19.2%	3.8%	30.8%	10.6
Nikola Jokic	DEN	74	27	3.6%	0.52	14	4	23	17.4	19.6	11.1%	3.7%	3.7%	0.0%	25.9%	9.1
Aaron Gordon	ORL	75	27	3.9%	0.52	14	7	24	29.2	29.2	0.0%	11.1%	0.0%	0.0%	25.9%	9.1
Garrett Temple	WAS	72	13	2.3%	1.00	13	5	11	45.5	59.1	0.0%	15.4%	0.0%	0.0%	38.5%	89.2
Tyler Ennis	MIL	40	13	6.7%	1.00	13	4	10	40.0	40.0	30.8%	0.0%	15.4%	7.7%	53.8%	89.2
Wayne Ellington	BKN	70	15	2.6%	0.87	13	5	13	38.5	50.0	0.0%	13.3%	0.0%	0.0%	33.3%	63.6
Tim Frazier	NOP	9	12	10.1%	1.00	12	3	7	42.9	57.1	25.0%	16.7%	16.7%	0.0%	50.0%	89.2
LaMarcus Aldridge	SAS	69	13	1.1%	0.92	12	4	9	44.4	44.4	15.4%	15.4%	15.4%	0.0%	46.2%	72.0
Corey Brewer	HOU	76	14	2.1%	0.86	12	4	13	30.8	34.6	14.3%	0.0%	14.3%	7.1%	35.7%	62.3
DeMarre Carroll	TOR	23	18	5.9%	0.67	12	3	13	23.1	23.1	27.8%	0.0%	27.8%	0.0%	38.9%	23.2
Thomas Robinson	BKN	62	22	6.4%	0.55	12	5	18	27.8	27.8	13.6%	9.1%	13.6%	4.5%	27.3%	11.4
Jose Calderon	NYK	72	12	2.2%	0.92	11	4	7	57.1	64.3	8.3%	33.3%	8.3%	0.0%	41.7%	70.9
ETwaun Moore	CHI	57	15	3.4%	0.73	11	5	13	38.5	38.5	6.7%	6.7%	0.0%	0.0%	40.0%	35.3
Maurice Harkless	POR	71	16	3.5%	0.69	11	4	10	40.0	45.0	12.5%	25.0%	6.3%	0.0%	37.5%	26.6
David West	SAS	72	17	3.4%	0.65	11	5	14	35.7	35.7	5.9%	11.8%	5.9%	0.0%	35.3%	21.1
Matthew Dellavedova	CLE	70	20	3.3%	0.55	11	3	16	18.8	25.0	10.0%	10.0%	5.0%	0.0%	25.0%	12.7
Wesley Johnson	LAC	73	10	1.8%	1.00	10	4	8	50.0	56.3	10.0%	20.0%	10.0%	10.0%	40.0%	89.2
Ryan Kelly	LAL	29	11	6.7%	0.91	10	4	8	50.0	50.0	18.2%	18.2%	9.1%	9.1%	45.5%	70.5
Enes Kanter	OKC	76	13	1.5%	0.77	10	5	13	38.5	38.5	0.0%	0.0%	0.0%	0.0%	38.5%	42.6
Larry Nance	LAL	56	13	4.0%	0.77	10	5	11	45.5	45.5	0.0%	15.4%	0.0%	0.0%	38.5%	42.6
Solomon Hill	IND	42	14	7.7%	0.71	10	5	12	41.7	41.7	0.0%	14.3%	0.0%	0.0%	35.7%	30.4
Ian Mahinmi	IND	65	14	2.4%	0.71	10	4	9	44.4	44.4	14.3%	21.4%	14.3%	0.0%	42.9%	30.4
Markieff Morris	WAS	23	15	5.3%	0.67	10	4	13	30.8	30.8	6.7%	6.7%	6.7%	0.0%	33.3%	23.2
Richard Jefferson	CLE	65	15	4.2%	0.67	10	1	6	16.7	16.7	40.0%	20.0%	33.3%	0.0%	46.7%	23.2
Justise Winslow	MIA	72	15	2.6%	0.67	10	5	15	33.3	33.3	0.0%	0.0%	0.0%	0.0%	33.3%	23.2
Andrea Bargnani	BKN	45	17	5.2%	0.59	10	4	11	36.4	36.4	11.8%	23.5%	5.9%	0.0%	29.4%	16.0
Brandon Jennings	ORL	23	18	9.0%	0.56	10	4	17	23.5	26.5	5.6%	0.0%	5.6%	0.0%	27.8%	13.5
Matt Barnes	MEM	70	20	2.6%	0.50	10	2	15	13.3	16.7	15.0%	10.0%	10.0%	0.0%	25.0%	7.0
Jarell Martin	MEM	19	10	8.1%	0.90	9	3	6	50.0	50.0	30.0%	10.0%	30.0%	0.0%	60.0%	68.7
