Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Gary Harris	DEN	71	29	3.4%	0.62	18	5	10	50.0	55.0	20.7%	48.3%	13.8%	3.4%	34.5%	68.2
Luis Scola	TOR	72	34	5.0%	0.53	18	3	8	37.5	43.8	20.6%	55.9%	0.0%	0.0%	29.4%	54.3
Jordan Hill	IND	71	52	7.6%	0.35	18	2	7	28.6	28.6	15.4%	71.2%	1.9%	0.0%	19.2%	24.8
Kevin Martin	MIN	39	19	4.4%	0.89	17	3	6	50.0	50.0	31.6%	36.8%	5.3%	0.0%	47.4%	95.0
Derrick Williams	NYK	74	21	3.1%	0.81	17	4	7	57.1	64.3	23.8%	42.9%	4.8%	0.0%	42.9%	90.6
Larry Nance	LAL	56	27	8.2%	0.63	17	5	7	71.4	71.4	22.2%	59.3%	7.4%	7.4%	33.3%	70.3
Shabazz Muhammad	MIN	76	27	3.5%	0.63	17	3	10	30.0	30.0	25.9%	40.7%	7.4%	3.7%	33.3%	70.3
Toney Douglas	NOP	53	28	6.3%	0.61	17	1	5	20.0	30.0	28.6%	53.6%	0.0%	0.0%	32.1%	65.8
Jonas Jerebko	BOS	70	28	8.2%	0.61	17	1	6	16.7	16.7	28.6%	50.0%	0.0%	0.0%	32.1%	65.8
Gerald Green	MIA	63	31	4.9%	0.55	17	3	17	17.6	23.5	16.1%	29.0%	3.2%	0.0%	25.8%	58.7
JaMychal Green	MEM	71	39	6.9%	0.44	17	3	8	37.5	37.5	20.5%	61.5%	5.1%	2.6%	25.6%	39.9
Shane Larkin	BKN	72	43	6.9%	0.40	17	2	7	28.6	28.6	18.6%	67.4%	2.3%	2.3%	20.9%	32.7
Nerlens Noel	PHI	62	67	8.5%	0.25	17	3	7	42.9	42.9	13.4%	76.1%	3.0%	0.0%	14.9%	14.7
Andrew Bogut	GSW	66	71	19.6%	0.24	17	2	4	50.0	50.0	15.5%	78.9%	1.4%	0.0%	15.5%	12.5
Eric Gordon	NOP	45	19	2.8%	0.84	16	1	3	33.3	50.0	42.1%	42.1%	0.0%	0.0%	47.4%	91.9
Quincy Acy	SAC	49	19	9.0%	0.84	16	3	4	75.0	75.0	42.1%	36.8%	5.3%	0.0%	52.6%	91.9
Festus Ezeli	GSW	40	30	10.0%	0.53	16	2	4	50.0	50.0	33.3%	53.3%	0.0%	0.0%	33.3%	55.7
Tyler Zeller	BOS	54	30	8.6%	0.53	16	4	7	57.1	57.1	23.3%	53.3%	0.0%	0.0%	30.0%	55.7
Patrick Patterson	TOR	73	36	6.8%	0.44	16	5	9	55.6	61.1	8.3%	69.4%	2.8%	2.8%	19.4%	41.3
Lance Thomas	NYK	59	38	7.8%	0.42	16	2	11	18.2	18.2	18.4%	52.6%	2.6%	0.0%	23.7%	36.9
Tim Hardaway Jr.	ATL	46	12	4.3%	1.25	15	3	7	42.9	64.3	25.0%	16.7%	8.3%	0.0%	50.0%	99.7
Brandon Rush	GSW	63	19	6.4%	0.79	15	4	7	57.1	64.3	26.3%	36.8%	0.0%	0.0%	47.4%	88.4
Jason Terry	HOU	65	27	6.9%	0.56	15	3	8	37.5	43.8	18.5%	51.9%	0.0%	0.0%	29.6%	59.8
LaMarcus Aldridge	SAS	69	29	2.4%	0.52	15	3	6	50.0	50.0	20.7%	58.6%	0.0%	0.0%	27.6%	51.2
Terrence Jones	HOU	49	37	8.0%	0.41	15	3	11	27.3	27.3	16.2%	51.4%	8.1%	0.0%	21.6%	34.3
Matthew Dellavedova	CLE	70	39	6.4%	0.38	15	1	5	20.0	20.0	17.9%	69.2%	0.0%	0.0%	20.5%	31.4
Tim Duncan	SAS	56	61	11.7%	0.25	15	3	5	60.0	60.0	11.5%	80.3%	1.6%	0.0%	16.4%	13.0
Amir Johnson	BOS	73	67	12.5%	0.22	15	3	3	100.0	100.0	20.9%	74.6%	0.0%	0.0%	16.4%	10.0
Terrence Ross	TOR	66	17	2.8%	0.82	14	2	6	33.3	41.7	29.4%	35.3%	0.0%	0.0%	41.2%	91.1
ETwaun Moore	CHI	57	22	5.0%	0.64	14	5	6	83.3	83.3	13.6%	59.1%	0.0%	0.0%	31.8%	71.1
Willie Cauley-Stein	SAC	59	25	6.6%	0.56	14	1	3	33.3	33.3	44.0%	44.0%	0.0%	0.0%	36.0%	60.1
Leandro Barbosa	GSW	63	26	6.2%	0.54	14	5	10	50.0	50.0	7.7%	53.8%	0.0%	0.0%	26.9%	56.9
Donald Sloan	BKN	56	32	7.5%	0.44	14	1	8	12.5	12.5	28.1%	46.9%	6.3%	0.0%	28.1%	40.4
Gerald Henderson	POR	67	34	5.6%	0.41	14	3	9	33.3	33.3	20.6%	55.9%	2.9%	2.9%	26.5%	35.1
Chandler Parsons	DAL	61	36	4.5%	0.39	14	7	15	46.7	46.7	2.8%	55.6%	0.0%	0.0%	19.4%	31.9
Danny Green	SAS	73	38	6.2%	0.37	14	2	11	18.2	27.3	15.8%	55.3%	2.6%	0.0%	18.4%	29.0
CJ Miles	IND	60	38	5.3%	0.37	14	3	6	50.0	50.0	15.8%	68.4%	7.9%	0.0%	23.7%	29.0
Kyle Korver	ATL	75	40	5.9%	0.35	14	2	6	33.3	33.3	12.5%	72.5%	0.0%	0.0%	17.5%	26.9
Brandon Jennings	ORL	23	13	6.5%	1.00	13	3	5	60.0	60.0	30.8%	30.8%	0.0%	0.0%	53.8%	98.1
Nick Young	LAL	54	15	3.5%	0.87	13	4	8	50.0	68.8	6.7%	40.0%	0.0%	0.0%	33.3%	93.9
Mike Muscala	ATL	49	18	9.7%	0.72	13	0	1	0.0	0.0	44.4%	50.0%	0.0%	0.0%	44.4%	79.2
Sasha Vujacic	NYK	52	20	7.2%	0.65	13	0	2	0.0	0.0	35.0%	55.0%	0.0%	0.0%	35.0%	72.3
