Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Jerian Grant	NYK	70	21	4.6%	0.38	8	4	20	20.0	20.0	0.0%	4.8%	0.0%	0.0%	19.0%	1.3
Archie Goodwin	PHX	50	11	2.1%	0.64	7	2	6	33.3	33.3	27.3%	18.2%	18.2%	0.0%	45.5%	11.0
PJ Hairston	MEM	14	12	9.1%	0.58	7	2	10	20.0	25.0	8.3%	8.3%	8.3%	0.0%	25.0%	7.5
Elfrid Payton	ORL	67	17	1.9%	0.41	7	3	14	21.4	25.0	0.0%	11.8%	5.9%	0.0%	17.6%	1.8
Larry Nance	LAL	56	11	3.4%	0.55	6	3	11	27.3	27.3	0.0%	0.0%	0.0%	0.0%	27.3%	4.4
Jarrett Jack	BKN	32	14	2.8%	0.43	6	3	12	25.0	25.0	0.0%	14.3%	0.0%	0.0%	21.4%	2.2
Norman Powell	TOR	39	10	5.2%	0.50	5	2	9	22.2	27.8	0.0%	10.0%	0.0%	0.0%	20.0%	3.5
Kelly Oubre Jr.	WAS	50	12	5.2%	0.25	3	1	9	11.1	16.7	0.0%	25.0%	0.0%	0.0%	8.3%	0.9
Michael Carter-Williams	MIL	54	10	1.3%	0.20	2	1	9	11.1	11.1	0.0%	10.0%	0.0%	0.0%	10.0%	0.4
Justin Anderson	DAL	45	16	8.7%	0.13	2	1	14	7.1	7.1	0.0%	12.5%	0.0%	0.0%	6.3%	0.0
