"","game_id","player_id","team_id","team_name","period","shot_distance","loc_x","loc_y"
"246","0041400225","203210","1610612763","Memphis Grizzlies","4",24,14,25.85
"247","0041400221","201145","1610612763","Memphis Grizzlies","1",20,12.5,21.45
"248","0041400221","201145","1610612763","Memphis Grizzlies","1",1,1.2,6.75
"249","0041400221","201145","1610612763","Memphis Grizzlies","1",27,16.5,26.95
"250","0041400221","201145","1610612763","Memphis Grizzlies","2",7,0.7,12.95
"251","0041400221","201145","1610612763","Memphis Grizzlies","2",13,7,17.35
"252","0041400221","201145","1610612763","Memphis Grizzlies","2",9,-7.5,11.35
"253","0041400221","201145","1610612763","Memphis Grizzlies","4",9,-2.4,14.05
"254","0041400221","201145","1610612763","Memphis Grizzlies","4",1,1.2,6.35
"255","0041400221","201145","1610612763","Memphis Grizzlies","4",2,1.3,7.55
"256","0041400222","201145","1610612763","Memphis Grizzlies","1",6,-5.2,8.85
"257","0041400222","201145","1610612763","Memphis Grizzlies","2",27,8.6,31.35
"258","0041400222","201145","1610612763","Memphis Grizzlies","2",9,-5.9,12.75
"259","0041400222","201145","1610612763","Memphis Grizzlies","2",25,-15.7,25.25
"260","0041400222","201145","1610612763","Memphis Grizzlies","2",8,0.1,13.25
"261","0041400222","201145","1610612763","Memphis Grizzlies","3",1,-0.8,6.65
"262","0041400222","201145","1610612763","Memphis Grizzlies","3",1,1.8,5.95
"263","0041400222","201145","1610612763","Memphis Grizzlies","3",2,1.4,7.75
"264","0041400222","201145","1610612763","Memphis Grizzlies","4",10,-6.4,13.25
"265","0041400222","201145","1610612763","Memphis Grizzlies","4",8,5.9,11.35
"266","0041400223","201145","1610612763","Memphis Grizzlies","1",18,18.1,8.85
"267","0041400223","201145","1610612763","Memphis Grizzlies","1",16,-12.3,16.55
"268","0041400223","201145","1610612763","Memphis Grizzlies","2",23,23,5.05
"269","0041400223","201145","1610612763","Memphis Grizzlies","2",1,1,6.45
"270","0041400223","201145","1610612763","Memphis Grizzlies","2",1,-1.5,6.35
"271","0041400223","201145","1610612763","Memphis Grizzlies","4",24,-21,18.35
"272","0041400223","201145","1610612763","Memphis Grizzlies","4",12,0,17.35
"273","0041400223","201145","1610612763","Memphis Grizzlies","4",21,16.3,19.05
"274","0041400224","201145","1610612763","Memphis Grizzlies","2",2,2.1,6.65
"275","0041400224","201145","1610612763","Memphis Grizzlies","2",3,2.3,7.25
"276","0041400224","201145","1610612763","Memphis Grizzlies","2",26,17.6,25.05
"277","0041400224","201145","1610612763","Memphis Grizzlies","3",4,4.5,6.65
"278","0041400224","201145","1610612763","Memphis Grizzlies","3",1,0.2,6.35
"279","0041400224","201145","1610612763","Memphis Grizzlies","3",2,2.4,5.05
"280","0041400224","201145","1610612763","Memphis Grizzlies","3",23,-23.4,4.25
"281","0041400224","201145","1610612763","Memphis Grizzlies","4",2,2.3,5.35
"282","0041400225","201145","1610612763","Memphis Grizzlies","1",12,0.2,18.15
"283","0041400225","201145","1610612763","Memphis Grizzlies","1",6,-6.4,7.85
"284","0041400225","201145","1610612763","Memphis Grizzlies","1",18,15.5,14.55
"285","0041400225","201145","1610612763","Memphis Grizzlies","2",18,12.7,18.15
"286","0041400225","201145","1610612763","Memphis Grizzlies","2",23,-23.1,7.75
"287","0041400225","201145","1610612763","Memphis Grizzlies","2",10,-0.2,15.35
"288","0041400225","201145","1610612763","Memphis Grizzlies","2",4,-3,8.55
"289","0041400225","201145","1610612763","Memphis Grizzlies","3",14,-6.7,17.85
"290","0041400225","201145","1610612763","Memphis Grizzlies","3",10,-10,7.85
"291","0041400225","201145","1610612763","Memphis Grizzlies","3",1,-1.8,5.95
