"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"84","Shot Chart Detail",21400087,361,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,7,13,"Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,22.6,9.45,1,"made",1,3
"85","Shot Chart Detail",21400087,369,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,6,22,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,12.2,26.35,1,"made",1,3
"86","Shot Chart Detail",21400087,378,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,5,29,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,10,27.75,1,"missed",0,3
"87","Shot Chart Detail",21400087,511,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,6,17,"Made Shot","Pullup Bank shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",10,-8.7,11.05,1,"made",1,2
"88","Shot Chart Detail",21400087,530,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,4,56,"Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.2,5.55,1,"made",1,2
"89","Shot Chart Detail",21400087,563,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,2,18,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,23.6,14.35,1,"made",1,3
"90","Shot Chart Detail",21400087,567,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,1,29,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,0.6,8.25,1,"made",1,2
"91","Shot Chart Detail",21400087,573,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,1,2,"Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,0,30.45,1,"made",1,3
"92","Shot Chart Detail",21400095,22,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,9,27,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",27,2.1,32.45,1,"made",1,3
"93","Shot Chart Detail",21400095,25,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,9,8,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,2.9,6.75,1,"made",1,2
"94","Shot Chart Detail",21400095,28,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,8,42,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-10.5,29.05,1,"missed",0,3
"95","Shot Chart Detail",21400095,47,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,49,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",21,-10.1,24.15,1,"missed",0,2
"96","Shot Chart Detail",21400095,53,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,34,"Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,23.3,4.25,1,"made",1,3
"97","Shot Chart Detail",21400095,68,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,4,57,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-12.8,26.95,1,"missed",0,3
"98","Shot Chart Detail",21400095,172,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,6,42,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",8,-8.6,5.65,1,"missed",0,2
"99","Shot Chart Detail",21400095,184,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,5,39,"Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-23.1,7.45,1,"made",1,3
"100","Shot Chart Detail",21400095,208,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,3,41,"Made Shot","Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,2.8,6.65,1,"made",1,2
"101","Shot Chart Detail",21400095,218,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,2,48,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-8.4,28.25,1,"made",1,3
"102","Shot Chart Detail",21400095,220,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,2,39,"Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.1,5.55,1,"made",1,2
"103","Shot Chart Detail",21400095,236,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,1,38,"Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,1.7,29.45,1,"missed",0,3
"104","Shot Chart Detail",21400095,264,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,11,44,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,0.6,30.35,1,"missed",0,3
"105","Shot Chart Detail",21400095,263,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,11,33,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.7,5.55,1,"made",1,2
"106","Shot Chart Detail",21400095,286,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,9,20,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",17,-7.3,20.95,1,"missed",0,2
"107","Shot Chart Detail",21400095,455,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,8,45,"Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",11,-3,16.45,1,"made",1,2
"108","Shot Chart Detail",21400095,463,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,7,52,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,5.4,29.35,1,"missed",0,3
"109","Shot Chart Detail",21400095,467,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,7,29,"Made Shot","Driving Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,2.9,6.45,1,"made",1,2
