"","group_set","player1","player2","player3","player4","player5","group_name","team_id","team_abbreviation","gp","w","l","w_pct","min","off_rating","def_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","pace","pie","group_quantity"
"309","Lineups","201600 "," 201936 "," 201569",NA,NA,"Asik,Omer - Evans,Tyreke - Gordon,Eric","1610612740","NOP","54","32","22","0.593","1116","105.8","102.3","3.5","0.621","1.7","18.4","0.282","0.772","0.525","0.149","0.51","0.54","92.27","0.518",3
"310","Lineups","203076 "," 201936 "," 201569",NA,NA,"Davis,Anthony - Evans,Tyreke - Gordon,Eric","1610612740","NOP","46","28","18","0.609","1109","109.7","105.2","4.5","0.604","1.94","18.5","0.275","0.751","0.509","0.131","0.52","0.553","93.81","0.524",3
"311","Lineups","202710 "," 2200 "," 201565",NA,NA,"Butler,Jimmy - Gasol,Pau - Rose,Derrick","1610612741","CHI","45","28","17","0.622","1100","105","101.2","3.8","0.602","1.67","17.4","0.257","0.742","0.511","0.14","0.493","0.539","97.27","0.542",3
"312","Lineups","101106 "," 203110 "," 202691",NA,NA,"Bogut,Andrew - Green,Draymond - Thompson,Klay","1610612744","GSW","60","52","8","0.867","1098","114.1","94.8","19.3","0.678","2.1","21.3","0.221","0.773","0.509","0.141","0.573","0.598","100.31","0.599",3
"313","Lineups","200746 "," 201587 "," 201577",NA,NA,"Aldridge,LaMarcus - Batum,Nicolas - Lopez,Robin","1610612757","POR","48","33","15","0.688","1092","107.6","103","4.7","0.562","1.76","17.1","0.243","0.761","0.515","0.13","0.509","0.549","95.53","0.534",3
"314","Lineups","201954 "," 200752 "," 203463",NA,NA,"Collison,Darren - Gay,Rudy - McLemore,Ben","1610612758","SAC","44","16","28","0.364","1089","108.6","101.6","7","0.525","1.29","15.8","0.257","0.771","0.531","0.159","0.525","0.577","98.73","0.545",3
"315","Lineups","203078 "," 101162 "," 1718",NA,NA,"Beal,Bradley - Gortat,Marcin - Pierce,Paul","1610612764","WAS","57","31","26","0.544","1080","104.5","98.1","6.4","0.648","1.79","19.7","0.222","0.8","0.512","0.15","0.525","0.553","96.97","0.537",3
"316","Lineups","101145 "," 1717 "," 202718",NA,NA,"Ellis,Monta - Nowitzki,Dirk - Parsons,Chandler","1610612742","DAL","61","38","23","0.623","1063","111.7","105.7","6.1","0.586","1.9","18.7","0.24","0.739","0.485","0.133","0.542","0.575","97.04","0.533",3
"317","Lineups","200752 "," 203463 "," 201574",NA,NA,"Gay,Rudy - McLemore,Ben - Thompson,Jason","1610612758","SAC","64","22","42","0.344","1053","102","101.6","0.4","0.52","1.35","15.5","0.236","0.778","0.512","0.149","0.496","0.537","97.15","0.502",3
"318","Lineups","200746 "," 201587 "," 202083",NA,NA,"Aldridge,LaMarcus - Batum,Nicolas - Matthews,Wesley","1610612757","POR","47","32","15","0.681","1051","107.3","98.2","9.2","0.558","1.74","16.6","0.259","0.76","0.516","0.128","0.502","0.542","97.47","0.557",3
